DATETIME,X,Y,Z
115711412,0.68,0.11,9.34
115711414,0.55,0.12,9.79
115711414,0.63,-0.03,9.48
115711417,0.86,0.15,9.63
115711417,0.69,0.07,9.94
115711419,0.40,-0.07,9.69
115711419,0.48,-0.03,9.46
115711421,0.83,0.10,9.86
115711421,0.80,0.07,9.83
115711423,0.62,0.02,9.45
115711423,0.56,0.07,9.80
115711426,0.62,-0.00,9.94
115711426,0.67,0.05,9.52
115711428,0.53,0.10,10.03
115711428,0.41,-0.13,9.72
115711430,0.66,-0.00,9.50
115711430,0.85,0.19,9.90
115711432,0.64,0.04,9.83
115711432,0.45,-0.00,9.46
115711434,0.55,0.05,9.82
115711434,0.65,-0.01,9.92
115711436,0.80,0.00,9.58
115711436,0.68,0.13,9.78
115711438,0.48,-0.08,9.65
115711438,0.79,0.07,9.56
115711440,0.79,0.17,9.94
115711440,0.47,-0.00,9.86
115711443,0.40,-0.08,9.47
115711443,0.67,0.11,9.78
115711445,0.82,0.08,9.95
115711446,0.69,0.03,9.47
115711447,0.51,0.16,9.56
115711447,0.48,0.08,9.96
115711449,0.60,-0.05,9.58
115711449,0.74,0.17,9.96
115711451,0.42,-0.02,9.81
115711453,0.47,-0.04,9.43
115711453,0.85,0.15,9.66
115711455,0.79,0.05,9.78
115711455,0.53,-0.03,9.46
115711457,0.47,0.04,9.60
115711457,0.66,0.01,9.94
115711459,0.78,0.01,9.74
115711459,0.74,0.17,9.56
115711461,0.53,0.19,9.96
115711462,0.63,-0.03,9.41
115711464,0.87,0.22,9.81
115711464,0.73,0.06,9.98
115711466,0.40,-0.02,9.54
115711467,0.51,0.07,9.61
115711468,0.76,0.06,9.97
115711468,0.74,0.02,9.65
115711470,0.64,0.12,9.47
115711470,0.44,0.07,9.91
115711472,0.51,-0.03,9.86
115711472,0.69,0.06,9.47
115711474,0.52,0.10,9.99
115711474,0.39,-0.08,9.50
115711476,0.65,0.04,9.59
115711476,0.88,0.14,9.91
115711478,0.65,0.08,9.66
115711479,0.53,0.02,9.60
115711481,0.54,-0.01,9.94
115711481,0.64,-0.06,9.77
115711484,0.76,0.08,9.45
115711484,0.78,0.16,9.80
115711485,0.47,-0.00,9.86
115711486,0.77,0.15,9.61
115711488,0.87,0.14,9.94
