DATETIME,X,Y,Z
154959053, 0.45,-0.37,10.35
154959057, 0.32,-0.60,10.35
154959059, -0.19,-0.53,10.08
154959061, -0.43,-0.38,9.91
154959063, -0.36,-0.05,9.92
154959065, -0.12,0.04,10.08
154959067, 0.15,-0.01,10.25
154959071, 0.47,-0.41,10.47
154959073, -0.02,-0.66,10.07
154959073, -0.27,-0.51,9.99
154959075, -0.41,-0.21,9.94
154959079, -0.03,0.07,10.12
154959081, 0.32,0.02,10.35
154959085, 0.52,-0.24,10.40
154959085, 0.50,-0.49,10.48
154959087, 0.18,-0.68,10.32
154959090, -0.38,-0.41,9.90
154959093, -0.48,-0.15,9.85
154959095, 0.09,0.03,10.22
154959098, 0.36,-0.16,10.40
154959098, 0.35,-0.60,10.40
154959101, 0.11,-0.69,10.21
154959104, -0.21,-0.55,10.06
154959107, -0.39,-0.30,9.94
154959109, -0.37,0.00,9.93
154959109, 0.17,0.03,10.23
154959112, 0.40,-0.22,10.36
154959115, 0.27,-0.64,10.37
154959117, -0.00,-0.61,10.13
154959119, -0.41,-0.23,9.91
154959119, -0.30,0.04,10.02
154959123, -0.01,0.07,10.10
154959125, 0.32,-0.01,10.25
154959129, 0.51,-0.25,10.45
154959131, 0.19,-0.70,10.16
154959133, -0.13,-0.67,9.97
154959135, -0.40,-0.41,9.94
154959137, -0.18,0.06,10.03
154959139, 0.36,-0.12,10.42
154959141, 0.46,-0.40,10.51
154959145, 0.38,-0.62,10.45
154959145, 0.07,-0.71,10.30
154959147, -0.19,-0.56,10.06
154959151, -0.34,-0.06,9.92
154959153, -0.13,0.06,10.09
154959155, 0.21,0.03,10.29
154959155, 0.45,-0.17,10.33
154959159, -0.04,-0.63,10.18
154959161, -0.28,-0.43,9.99
154959165, -0.40,-0.19,9.87
154959167, -0.28,0.05,9.96
154959169, -0.02,0.10,10.14
154959169, 0.42,-0.31,10.60
154959173, 0.45,-0.52,10.55
154959175, 0.21,-0.71,10.34
154959179, -0.21,-0.57,10.09
154959181, -0.20,0.09,10.00
154959181, 0.10,0.04,10.22
154959183, 0.37,-0.13,10.34
154959187, 0.47,-0.41,10.47
154959190, 0.36,-0.59,10.39
154959192, -0.27,-0.53,10.00
154959192, -0.43,-0.29,9.91
154959196, -0.30,0.00,9.99
154959198, -0.08,0.06,10.08
154959200, 0.19,0.05,10.26
154959204, 0.22,-0.65,10.34
154959206, -0.07,-0.58,10.09
154959206, -0.35,-0.44,9.85
154959210, -0.43,-0.14,9.77
154959212, 0.02,0.01,10.18
154959214, 0.34,-0.06,10.44
154959218, 0.48,-0.31,10.50
154959218, 0.43,-0.55,10.43
154959220, 0.14,-0.67,10.29
154959224, -0.44,-0.38,9.98
154959226, -0.16,0.08,10.04
154959228, 0.12,0.01,10.23
154959228, 0.40,-0.19,10.40
154959232, 0.33,-0.66,10.43
154959233, 0.01,-0.74,10.21
154959237, -0.24,-0.50,10.01
154959240, -0.41,-0.28,9.90
154959240, -0.33,-0.00,9.92
154959242, 0.29,-0.04,10.24
154959244, 0.45,-0.50,10.41
